movie_title,year,rank,star_cast,rating,vote,link,genres
Casablanca,1942,48,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.449575470511515,543212,https://www.imdb.com/title/tt0034583/,"Drama,Romance,War"
Once Upon a Time in the West,1968,49,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.44785945797145,314606,https://www.imdb.com/title/tt0064116/,Western
Rear Window,1954,50,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.438883216598713,465714,https://www.imdb.com/title/tt0047396/,"Mystery,Thriller"
Nuovo Cinema Paradiso,1988,51,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.436146756717859,245577,https://www.imdb.com/title/tt0095765/,"Drama,Romance"
Alien,1979,52,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.422571307358231,823915,https://www.imdb.com/title/tt0078748/,"Horror,Sci-Fi"
Apocalypse Now,1979,53,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.417598533661346,630207,https://www.imdb.com/title/tt0078788/,"Drama,Mystery,War"
Memento,2000,54,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.409378394426453,1169950,https://www.imdb.com/title/tt0209144/,"Mystery,Thriller"
Indiana Jones and the Raiders of the Lost Ark,1981,55,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.406465712200301,917528,https://www.imdb.com/title/tt0082971/,"Action,Adventure"
De dictator,1940,56,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.404760245890076,213345,https://www.imdb.com/title/tt0032553/,"Comedy,Drama,War"
Das Leben der Anderen,2006,57,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.39131110434281,372962,https://www.imdb.com/title/tt0405094/,"Drama,Mystery,Thriller"
Django Unchained,2012,58,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.389628315722488,1428175,https://www.imdb.com/title/tt1853728/,"Drama,Western"
Het veld van eer,1957,59,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.38284010230346,187298,https://www.imdb.com/title/tt0050825/,"Drama,War"
Sunset Boulevard,1950,60,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.377154158797904,211244,https://www.imdb.com/title/tt0043014/,"Drama,Film-Noir"
WALL·E,2008,61,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.372940723288497,1043322,https://www.imdb.com/title/tt0910970/,"Animation,Adventure,Family,Romance,Sci-Fi"
Avengers: Infinity War,2018,62,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.36505200234254,925597,https://www.imdb.com/title/tt4154756/,"Action,Adventure,Sci-Fi"
The Shining,1980,63,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.36456180105281,943208,https://www.imdb.com/title/tt0081505/,"Drama,Horror"
Witness for the Prosecution,1957,64,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.363595226471613,116537,https://www.imdb.com/title/tt0051201/,"Crime,Drama,Mystery,Thriller"
Spider-Man: Een nieuw universum,2018,65,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.354346265596037,428340,https://www.imdb.com/title/tt4633694/,"Animation,Action,Adventure,Comedy,Family,Fantasy,Sci-Fi"
Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,66,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.35313927978377,467910,https://www.imdb.com/title/tt0057012/,Comedy
Joker,2019,67,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.348743282359527,1069441,https://www.imdb.com/title/tt7286456/,"Crime,Drama,Thriller"
Mononoke-hime,1997,68,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.34477284136488,365200,https://www.imdb.com/title/tt0119698/,"Animation,Action,Adventure,Fantasy"
